"sim_year","site","year","md","ave30moistureMeasure","ave30_60moistureMeasure","ave60_100moistureMeasure","totalSoilMoistureMeasure","ID_sim","DOY","Rain","Irri","bulk_density","porosity","TW0_30","TW30_60","TW60_100","allTWsim","topPorosity"
2001,1,2001,"05-24",NA,NA,NA,NA,2,144,0,0,1.1,0.58,8.52,12.36,16.48,37.36,0.58
2001,1,2001,"05-24",NA,NA,NA,NA,1,144,0,0,1.1,0.58,8.52,12.36,16.48,37.36,0.58
2001,1,2001,"05-24",NA,NA,NA,NA,34,144,0,0,1.15,0.56,8.22,11.94,15.92,36.08,0.57
2001,1,2001,"05-24",NA,NA,NA,NA,68,144,0,0,1.2,0.54,7.92,11.52,15.36,34.8,0.55
2001,1,2001,"05-24",NA,NA,NA,NA,67,144,0,0,1.2,0.54,7.92,11.52,15.36,34.8,0.55
2001,1,2001,"05-24",NA,NA,NA,NA,3,144,0,0,1.1,0.58,8.52,12.36,16.48,37.36,0.58
2001,1,2001,"05-24",NA,NA,NA,NA,36,144,0,0,1.15,0.56,8.22,11.94,15.92,36.08,0.57
2001,1,2001,"05-24",NA,NA,NA,NA,35,144,0,0,1.15,0.56,8.22,11.94,15.92,36.08,0.57
2001,1,2001,"05-24",NA,NA,NA,NA,69,144,0,0,1.2,0.54,7.92,11.52,15.36,34.8,0.55
2001,1,2001,"05-25",NA,NA,NA,NA,3,145,1,0,1.1,0.58,8.31,12.36,16.48,37.15,0.58
2001,1,2001,"05-25",NA,NA,NA,NA,1,145,1,0,1.1,0.58,8.31,12.36,16.48,37.15,0.58
2001,1,2001,"05-25",NA,NA,NA,NA,69,145,1,0,1.2,0.54,7.71,11.52,15.36,34.59,0.55
2001,1,2001,"05-25",NA,NA,NA,NA,2,145,1,0,1.1,0.58,8.31,12.36,16.48,37.15,0.58
2001,1,2001,"05-25",NA,NA,NA,NA,67,145,1,0,1.2,0.54,7.71,11.52,15.36,34.59,0.55
2001,1,2001,"05-25",NA,NA,NA,NA,35,145,1,0,1.15,0.56,8.01,11.94,15.92,35.87,0.57
2001,1,2001,"05-25",NA,NA,NA,NA,34,145,1,0,1.15,0.56,8.01,11.94,15.92,35.87,0.57
2001,1,2001,"05-25",NA,NA,NA,NA,68,145,1,0,1.2,0.54,7.71,11.52,15.36,34.59,0.55
2001,1,2001,"05-25",NA,NA,NA,NA,36,145,1,0,1.15,0.56,8.01,11.94,15.92,35.87,0.57
2001,1,2001,"05-26",NA,NA,NA,NA,1,146,0,0,1.1,0.58,8.07,12.36,16.48,36.91,0.58
2001,1,2001,"05-26",NA,NA,NA,NA,2,146,0,0,1.1,0.58,8.07,12.36,16.48,36.91,0.58
2001,1,2001,"05-26",NA,NA,NA,NA,3,146,0,0,1.1,0.58,8.07,12.36,16.48,36.91,0.58
2001,1,2001,"05-26",NA,NA,NA,NA,68,146,0,0,1.2,0.54,7.47,11.52,15.36,34.35,0.55
2001,1,2001,"05-26",NA,NA,NA,NA,67,146,0,0,1.2,0.54,7.47,11.52,15.36,34.35,0.55
2001,1,2001,"05-26",NA,NA,NA,NA,35,146,0,0,1.15,0.56,7.77,11.94,15.92,35.63,0.57
2001,1,2001,"05-26",NA,NA,NA,NA,69,146,0,0,1.2,0.54,7.47,11.52,15.36,34.35,0.55
2001,1,2001,"05-26",NA,NA,NA,NA,36,146,0,0,1.15,0.56,7.77,11.94,15.92,35.63,0.57
2001,1,2001,"05-26",NA,NA,NA,NA,34,146,0,0,1.15,0.56,7.77,11.94,15.92,35.63,0.57
2001,1,2001,"05-27",NA,NA,NA,NA,69,147,0,0,1.2,0.54,7.23,11.52,15.36,34.11,0.55
2001,1,2001,"05-27",NA,NA,NA,NA,67,147,0,0,1.2,0.54,7.23,11.52,15.36,34.11,0.55
2001,1,2001,"05-27",NA,NA,NA,NA,1,147,0,0,1.1,0.58,7.83,12.36,16.48,36.67,0.58
2001,1,2001,"05-27",NA,NA,NA,NA,68,147,0,0,1.2,0.54,7.23,11.52,15.36,34.11,0.55
2001,1,2001,"05-27",NA,NA,NA,NA,36,147,0,0,1.15,0.56,7.53,11.94,15.92,35.39,0.57
2001,1,2001,"05-27",NA,NA,NA,NA,35,147,0,0,1.15,0.56,7.53,11.94,15.92,35.39,0.57
2001,1,2001,"05-27",NA,NA,NA,NA,34,147,0,0,1.15,0.56,7.53,11.94,15.92,35.39,0.57
2001,1,2001,"05-27",NA,NA,NA,NA,2,147,0,0,1.1,0.58,7.83,12.36,16.48,36.67,0.58
2001,1,2001,"05-27",NA,NA,NA,NA,3,147,0,0,1.1,0.58,7.83,12.36,16.48,36.67,0.58
2001,1,2001,"05-28",NA,NA,NA,NA,68,148,0,0,1.2,0.54,7.05,11.52,15.36,33.93,0.55
2001,1,2001,"05-28",NA,NA,NA,NA,35,148,0,0,1.15,0.56,7.32,11.94,15.92,35.18,0.57
